"ID","Type","Name","Documentation","Source","Target","Specialization"
"10252","AssociationRelationship","","","9806","10222",""
"17863","AssociationRelationship","","","17818","17817",""
"17864","AssociationRelationship","","","17805","17817",""
"17865","AssociationRelationship","","","17806","17819",""
"7150","AssociationRelationship","","","7130","7148",""
"8537","AssociationRelationship","","","8505","8545",""
"8538","AssociationRelationship","","","8545","8506",""
"8540","AssociationRelationship","","","8546","8507",""
"8539","AssociationRelationship","","","8506","8546",""
"7397","CompositionRelationship","","","7375","7380",""
"7405","CompositionRelationship","","","7374","7388",""
"7402","CompositionRelationship","","","7376","7385",""
"7393","CompositionRelationship","","","7372","7376",""
"7401","CompositionRelationship","","","7375","7384",""
"7399","CompositionRelationship","","","7375","7382",""
"17710","CompositionRelationship","","","10674","17708",""
"7404","CompositionRelationship","","","7376","7387",""
"7400","CompositionRelationship","","","7375","7383",""
"17639","CompositionRelationship","","","10674","17634",""
"7392","CompositionRelationship","","","7372","7375",""
"7403","CompositionRelationship","","","7376","7386",""
"14513","CompositionRelationship","","","8618","12913",""
"7391","CompositionRelationship","","","7372","7374",""
"6614","CompositionRelationship","","","6611","6613",""
"7396","CompositionRelationship","","","7373","7379",""
"14514","CompositionRelationship","","","8618","12914",""
"6167","CompositionRelationship","","","6143","6145",""
"7394","CompositionRelationship","","","7373","7377",""
"7406","CompositionRelationship","","","7374","7389",""
"7398","CompositionRelationship","","","7375","7381",""
"7395","CompositionRelationship","","","7373","7378",""
"7390","CompositionRelationship","","","7372","7373",""
"7412","CompositionRelationship","","","7425","7426",""
"16643","CompositionRelationship","","","14148","16642",""
"18527","CompositionRelationship","","","18477","18524",""
"16650","CompositionRelationship","","","14148","16649",""
"10948","CompositionRelationship","","","10800","10803",""
"7411","CompositionRelationship","","","7423","7424",""
"7414","CompositionRelationship","","","7424","7428",""
"18232","CompositionRelationship","","","18190","18227",""
"17606","CompositionRelationship","","","17598","17592",""
"7413","CompositionRelationship","","","7424","7427",""
"7415","CompositionRelationship","","","7424","7425",""
"7416","CompositionRelationship","","","7428","7429",""
"10920","CompositionRelationship","","","10798","10799",""
"10903","CompositionRelationship","","","10794","10798",""
"6865","CompositionRelationship","","","6836","6840",""
"6866","CompositionRelationship","","","6836","6843",""
"6868","CompositionRelationship","","","6843","6839",""
"6871","CompositionRelationship","","","6840","6839",""
"6867","CompositionRelationship","","","6843","6838",""
"6870","CompositionRelationship","","","6840","6838",""
"6873","CompositionRelationship","","","6846","6848",""
"6872","CompositionRelationship","","","6840","6842",""
"6869","CompositionRelationship","","","6843","6845",""
"6874","CompositionRelationship","","","6846","6849",""
"10756","FlowRelationship","","","10674","10684",""
"10754","FlowRelationship","","","10674","10685",""
"14522","FlowRelationship","","","14478","10684",""
"14504","FlowRelationship","","","8618","10685",""
"14502","FlowRelationship","","","14477","10685",""
"10736","FlowRelationship","","","10685","10672",""
"14501","FlowRelationship","","","14481","10685",""
"10737","FlowRelationship","","","10685","10673",""
"10738","FlowRelationship","","","10672","10685",""
"19378","FlowRelationship","","","8618","10685",""
"10742","FlowRelationship","","","10685","10682",""
"10745","FlowRelationship","","","10685","10669",""
"10746","FlowRelationship","","","10669","10685",""
"10753","FlowRelationship","","","10685","10674",""
"10750","FlowRelationship","","","10685","10671",""
"10751","FlowRelationship","","","10683","10685",""
"14500","FlowRelationship","","","10685","14481",""
"14506","FlowRelationship","","","10685","14478",""
"19379","FlowRelationship","","","14478","10685",""
"14525","FlowRelationship","","","10685","14484",""
"10749","FlowRelationship","","","10685","10681",""
"14507","FlowRelationship","","","14478","10685",""
"14505","FlowRelationship","","","10685","8618",""
"10743","FlowRelationship","","","10685","10670",""
"14523","FlowRelationship","","","10684","14478",""
"10757","FlowRelationship","","","10684","10674",""
"10740","FlowRelationship","","","10682","10685",""
"10739","FlowRelationship","","","10673","10685",""
"10747","FlowRelationship","","","10671","10685",""
"14503","FlowRelationship","","","10685","14477",""
"14524","FlowRelationship","","","14484","10685",""
"10755","FlowRelationship","","","10680","10685",""
"10748","FlowRelationship","","","10681","10685",""
"10744","FlowRelationship","","","10670","10685",""
"10741","FlowRelationship","","","10685","10680",""
"10752","FlowRelationship","","","10685","10683",""
"12938","FlowRelationship","","","8659","12927",""
"18054","FlowRelationship","","","18018","18019",""
"6745","FlowRelationship","","","6652","6656",""
"6744","FlowRelationship","","","6655","6652",""
"6200","FlowRelationship","","","6189","6182",""
"6203","FlowRelationship","","","6182","6184",""
"6737","FlowRelationship","","","6650","6652",""
"18053","FlowRelationship","","","18019","18020",""
"10977","FlowRelationship","","","10847","10823",""
"6799","FlowRelationship","","","6656","6655",""
"10990","FlowRelationship","","","10847","10819",""
"6741","FlowRelationship","","","6651","6653",""
"10979","FlowRelationship","","","8659","10847",""
"6740","FlowRelationship","","","6649","6651",""
"10978","FlowRelationship","","","10823","10847",""
"6738","FlowRelationship","","","6654","6652",""
"6742","FlowRelationship","","","6655","6651",""
"12939","FlowRelationship","","","8660","12927",""
"6748","FlowRelationship","","","6654","6656",""
"6743","FlowRelationship","","","6651","6652",""
"6739","FlowRelationship","","","6650","6649",""
"18052","FlowRelationship","","","18018","18020",""
"6198","FlowRelationship","","","6189","6184",""
"10868","FlowRelationship","Aggregate order","","10791","10784",""
"10867","FlowRelationship","Aggregate order info","","10784","10791",""
"14547","FlowRelationship","Bank statement","","10999","10793",""
"14546","FlowRelationship","Contract","","10790","10998",""
"10874","FlowRelationship","Contract","","10790","13806",""
"10863","FlowRelationship","Cust credit assessment","","10789","10790",""
"14554","FlowRelationship","Cust credit assessment","","10789","10790",""
"14553","FlowRelationship","Cust. credit analysis req","","10790","10789",""
"14559","FlowRelationship","Cust. credit profile","","10790","10791",""
"10866","FlowRelationship","Cust. exposure req","","10791","10790",""
"14555","FlowRelationship","Cust. exposure req","","10791","10790",""
"10870","FlowRelationship","Cust.credit analysis requirement","","10790","10789",""
"14550","FlowRelationship","Customer order","","10791","10784",""
"10864","FlowRelationship","Delivery confirmation","","13806","10792",""
"14549","FlowRelationship","Delivery confirmation","","10998","10792",""
"14548","FlowRelationship","Delivery notification","","10792","10998",""
"10865","FlowRelationship","Delivery notification","","10792","13806",""
"6750","FlowRelationship","Equipment & process specific data","","6657","6655",""
"6749","FlowRelationship","Equipment and process specific production rules","","6654","6657",""
"10884","FlowRelationship","Final products","","10787","10785",""
"10883","FlowRelationship","Final products","","10786","10785",""
"14573","FlowRelationship","Final products","","10786","10785",""
"14572","FlowRelationship","Final products","","10787","10785",""
"14560","FlowRelationship","GDN","","10785","10787",""
"10887","FlowRelationship","GDN","","10785","10784",""
"10882","FlowRelationship","GDN","","10785","10787",""
"10872","FlowRelationship","GDN","","10792","10791",""
"14571","FlowRelationship","GDN","","10785","10784",""
"14567","FlowRelationship","GDN","","10792","10791",""
"14544","FlowRelationship","Inquiry","","10998","10790",""
"10873","FlowRelationship","Inquiry","","13806","10790",""
"10880","FlowRelationship","Invoice","","10791","13806",""
"10876","FlowRelationship","Invoice","","10791","10793",""
"14563","FlowRelationship","Invoice","","10791","10998",""
"14568","FlowRelationship","Invoice","","10791","10793",""
"14557","FlowRelationship","New customer approved","","14538","10790",""
"14556","FlowRelationship","New customer assessment request","","10790","14538",""
"14545","FlowRelationship","Offer","","10791","10998",""
"10877","FlowRelationship","Offer","","10791","13806",""
"6747","FlowRelationship","Operational commands","","6656","6657",""
"6816","FlowRelationship","Operational responses","","6657","6656",""
"14558","FlowRelationship","Order","","10998","10791",""
"10878","FlowRelationship","Order","","13806","10791",""
"14565","FlowRelationship","Order assess.","","10790","10791",""
"10875","FlowRelationship","Order assessment","","10790","10791",""
"10879","FlowRelationship","Order info","","10791","13806",""
"14564","FlowRelationship","Order info","","10791","10998",""
"10886","FlowRelationship","Production order","","10784","10786",""
"14569","FlowRelationship","Production order","","10784","10786",""
"10881","FlowRelationship","Raw materials","","10785","10786",""
"14552","FlowRelationship","Raw materials","","10787","10786",""
"10869","FlowRelationship","Raw materials","","10788","10786",""
"14551","FlowRelationship","Raw materials","","10788","10786",""
"14570","FlowRelationship","Shipping order","","10784","10785",""
"14566","FlowRelationship","Shipping order","","10791","10792",""
"10885","FlowRelationship","Shipping order","","10784","10785",""
"10871","FlowRelationship","Shipping order","","10791","10792",""
"6199","FlowRelationship","Standards and Customer Requirements","","6188","6182",""
"12922","RealizationRelationship","","","8618","10691",""
"10725","RealizationRelationship","","","10682","10698",""
"10761","RealizationRelationship","","","10685","10687",""
"12921","RealizationRelationship","","","8618","10690",""
"14497","RealizationRelationship","","","14478","10686",""
"18578","RealizationRelationship","","","18516","18524",""
"18579","RealizationRelationship","","","18514","18476",""
"10705","RealizationRelationship","","","10669","10689",""
"10735","RealizationRelationship","","","10682","10700",""
"10760","RealizationRelationship","","","10685","10686",""
"8072","RealizationRelationship","","","7992","7946",""
"14511","RealizationRelationship","","","14534","14489",""
"6624","RealizationRelationship","","","6611","6565",""
"10706","RealizationRelationship","","","10669","10690",""
"8073","RealizationRelationship","","","7993","7947",""
"10726","RealizationRelationship","","","10682","10699",""
"14491","RealizationRelationship","","","8618","14487",""
"14519","RealizationRelationship","","","14535","10689",""
"10715","RealizationRelationship","","","10670","10694",""
"18672","RealizationRelationship","","","18642","18616",""
"10712","RealizationRelationship","","","10670","10692",""
"10759","RealizationRelationship","","","10685","10701",""
"18576","RealizationRelationship","","","18517","18478",""
"19483","RealizationRelationship","","","19471","10693",""
"18601","RealizationRelationship","","","10474","18476",""
"12919","RealizationRelationship","","","8618","10688",""
"14527","RealizationRelationship","","","14484","14488",""
"10703","RealizationRelationship","","","10669","10688",""
"8071","RealizationRelationship","","","7991","7945",""
"18577","RealizationRelationship","","","18518","18479",""
"18602","RealizationRelationship","","","10473","18524",""
"14498","RealizationRelationship","","","14478","10701",""
"18575","RealizationRelationship","","","18520","18481",""
"14490","RealizationRelationship","","","8618","14486",""
"10718","RealizationRelationship","","","10685","10695",""
"10722","RealizationRelationship","","","10670","10696",""
"12920","RealizationRelationship","","","8618","10689",""
"10702","RealizationRelationship","","","10669","10691",""
"18604","RealizationRelationship","","","10475","18481",""
"8075","RealizationRelationship","","","7995","7949",""
"18671","RealizationRelationship","","","18643","18646",""
"14526","RealizationRelationship","","","10685","14485",""
"18603","RealizationRelationship","","","10478","18479",""
"6168","RealizationRelationship","","","6143","6192",""
"10758","RealizationRelationship","","","10685","10693",""
"18605","RealizationRelationship","","","10476","18478",""
"10721","RealizationRelationship","","","10670","10697",""
"8074","RealizationRelationship","","","7994","7948",""
"19512","RealizationRelationship","","","19509","14485",""
"18574","RealizationRelationship","","","18515","18477",""
"14496","RealizationRelationship","","","8618","10692",""
"14237","RealizationRelationship","","","14236","14223",""
"10889","RealizationRelationship","","","10832","10858",""
"10888","RealizationRelationship","","","10831","10857",""
"10938","RealizationRelationship","","","11003","10804",""
"10914","RealizationRelationship","","","10851","10861",""
"10902","RealizationRelationship","","","11002","10796",""
"14249","RealizationRelationship","","","14148","14248",""
"12937","RealizationRelationship","","","12927","10859",""
"10890","RealizationRelationship","","","8659","10856",""
"10891","RealizationRelationship","","","10833","10860",""
"10989","RealizationRelationship","","","10819","10859",""
"6859","RealizationRelationship","","","6836","6853",""
"6858","RealizationRelationship","","","6836","6851",""
"6863","RealizationRelationship","","","6856","6854",""
"6860","RealizationRelationship","","","6836","6852",""
"8456","RealizationRelationship","","","8454","8365",""
"8489","RealizationRelationship","","","8486","7148",""
"8488","RealizationRelationship","","","8487","7148",""
"8458","RealizationRelationship","","","8454","8377",""
"9863","RealizationRelationship","","","9862","7225",""
"8461","RealizationRelationship","","","8454","7225",""
"10290","RealizationRelationship","","","8486","8437",""
"8457","RealizationRelationship","","","8454","8259",""
"8459","RealizationRelationship","","","8453","8365",""
"9864","RealizationRelationship","","","9862","8216",""
"8460","RealizationRelationship","","","8378","7225",""
"7197","RealizationRelationship","","","7196","7163",""
"9865","RealizationRelationship","","","8454","7148",""
"16360","RealizationRelationship","","","14396","8542",""
"8625","RealizationRelationship","","","8542","8618",""
"16363","RealizationRelationship","","","16329","14543",""
"16361","RealizationRelationship","","","16329","8660",""
"16335","RealizationRelationship","","","14390","16331",""
"8695","RealizationRelationship","","","8543","8689",""
"8661","RealizationRelationship","","","8611","8659",""
"16374","RealizationRelationship","","","16330","12927",""
"8598","RealizationRelationship","","","8532","8599",""
"8597","RealizationRelationship","","","8532","8543",""
"8627","RealizationRelationship","","","8599","8624",""
"16375","RealizationRelationship","","","16330","10859",""
"16334","RealizationRelationship","","","14390","16330",""
"16359","RealizationRelationship","","","14396","16329",""
"8610","RealizationRelationship","","","8532","8611",""
"8596","RealizationRelationship","","","8532","8542",""
"8662","RealizationRelationship","","","8611","8660",""
"16362","RealizationRelationship","","","16329","12926",""
"16336","RealizationRelationship","","","16331","14484",""
"13289","RealizationRelationship","Realizes","","13262","13297",""
"13288","RealizationRelationship","Realizes","","13261","13262",""
"13294","RealizationRelationship","Realizes","","13292","13298",""
"13293","RealizationRelationship","Realizes","","13291","13292",""
"13296","RealizationRelationship","Realizes","","13295","13261",""
"13300","RealizationRelationship","Realizes","","13263","13292",""
"13299","RealizationRelationship","Realizes","","13264","13262",""
"5a742dc8","ServingRelationship","","","14236","14223",""
"9407","ServingRelationship","","","9367","9369",""
"19380","ServingRelationship","","","8618","8660",""
"6509","ServingRelationship","","","6454","6175",""
"16521","ServingRelationship","","","10672","10996",""
"7826","ServingRelationship","","","7373","6188",""
"6550","ServingRelationship","","","6519","6182",""
"19398","ServingRelationship","","","14478","8660",""
"18269","ServingRelationship","","","17970","18189",""
"16478","ServingRelationship","","","10681","10995",""
"12918","ServingRelationship","","","10688","12926",""
"14528","ServingRelationship","","","10693","14484",""
"6153","ServingRelationship","","","6140","6458",""
"19372","ServingRelationship","","","8618","8659",""
"6152","ServingRelationship","","","6140","6457",""
"7836","ServingRelationship","","","7376","6188",""
"10709","ServingRelationship","","","10688","10844",""
"7889","ServingRelationship","","","7376","6187",""
"6510","ServingRelationship","","","6453","6174",""
"10710","ServingRelationship","","","10691","10845",""
"6164","ServingRelationship","","","6140","6449",""
"10704","ServingRelationship","","","10689","10835",""
"9423","ServingRelationship","","","6141","9410",""
"6514","ServingRelationship","","","6456","6176",""
"16527","ServingRelationship","","","16517","10997",""
"14493","ServingRelationship","","","14486","10812",""
"14531","ServingRelationship","","","10695","10827",""
"10707","ServingRelationship","","","10690","10842",""
"6516","ServingRelationship","","","6458","6178",""
"9422","ServingRelationship","","","6140","9409",""
"18711","ServingRelationship","","","17970","14223",""
"9378","ServingRelationship","","","9222","9368",""
"10733","ServingRelationship","","","10700","10830",""
"14494","ServingRelationship","","","14487","10818",""
"6155","ServingRelationship","","","6140","6455",""
"6160","ServingRelationship","","","6141","6521",""
"6156","ServingRelationship","","","6138","6140",""
"16525","ServingRelationship","","","10672","10997",""
"14532","ServingRelationship","","","10692","10829",""
"10720","ServingRelationship","","","10696","10850",""
"6551","ServingRelationship","","","6520","6181",""
"18270","ServingRelationship","","","17970","18190",""
"6154","ServingRelationship","","","6140","6450",""
"6506","ServingRelationship","","","6405","6189",""
"10729","ServingRelationship","","","10686","10682",""
"6148","ServingRelationship","","","6140","6452",""
"16518","ServingRelationship","","","10681","10996",""
"9424","ServingRelationship","","","6138","9408",""
"7837","ServingRelationship","","","7374","6187",""
"16522","ServingRelationship","","","10671","10996",""
"10724","ServingRelationship","","","10699","10826",""
"6512","ServingRelationship","","","6451","6172",""
"6511","ServingRelationship","","","6452","6173",""
